,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
110,15 Min Feel Good Yoga Flow | Reconnect To That Which Serves You Greatest,T9JHOtyBHOA,2020-10-12T17:05:05Z,397972,13598,56,342,T9JHOtyBHOA,0 days 00:16:57,1017.0
111,Blissful Yoga Flow  ♥ One Yoga Class To Rule Them All,LM-E6HeuG3I,2020-05-11T21:19:01Z,935443,19484,217,502,LM-E6HeuG3I,0 days 00:21:30,1290.0
112,Yoga For All Levels | A Perfectly Blissful Yoga Class - Peru,2DsLs1kW4C4,2020-05-11T21:19:23Z,676375,11920,105,298,2DsLs1kW4C4,0 days 00:14:42,882.0
113,"Wake Up Yoga For All | Yoga For Harmony, Strength & Inner Power",6BQH1-tG61A,2020-05-11T21:18:35Z,628499,16640,121,544,6BQH1-tG61A,0 days 00:20:26,1226.0
114,15 Min Yoga Flow To Feel Good In Difficult Times | Yoga Movement Therapy,BttMFBHHSR8,2020-11-23T16:16:21Z,423009,14458,159,395,BttMFBHHSR8,0 days 00:15:00,900.0
115,"Yoga Flow To Release Everything ♥ Empty Your Mind... Be Water, My Friend.",d7cX_NRCHvY,2020-05-11T21:18:35Z,733701,13923,155,493,d7cX_NRCHvY,0 days 00:26:19,1579.0
116,Perfect Morning Yoga  ♥ A Cup Of Coffee For Your Soul | North Caicos,WOQC8ETeTVM,2020-05-11T21:19:01Z,1185128,23478,269,584,WOQC8ETeTVM,0 days 00:26:01,1561.0
117,Intermediate Yoga  ♥ Stress Release Flow | Playa Barrigona,29noBUQoZZI,2020-05-11T21:19:49Z,564716,10418,133,349,29noBUQoZZI,0 days 00:21:01,1261.0
118,Gentle Yoga Flow ♥ Start Or End Your Day Perfectly | Fort De Soto,AYdQUS7jfPA,2020-05-11T21:19:49Z,1973972,25505,311,505,AYdQUS7jfPA,0 days 00:15:59,959.0
119,Morning Yoga Flow ♥ 15 Minute Intermediate Wake Up | Joshua Tree,1Benc0pfoFE,2020-05-11T21:20:16Z,1406188,25044,337,460,1Benc0pfoFE,0 days 00:17:03,1023.0
120,Vinyasa Power Flow Class ♥ 20 Minute Yoga | Cambodia Wildlife Sanctuary,Eb5dsG7L7lo,2020-05-11T21:20:16Z,901876,16108,190,682,Eb5dsG7L7lo,0 days 00:22:38,1358.0
121,25 Min Morning Full Body Yoga To Wake Up & Feel Great | Boho Beautiful Yoga,aoJJz6vOMvA,2021-02-28T15:35:20Z,416720,14198,87,453,aoJJz6vOMvA,0 days 00:27:40,1660.0
122,30 Min Total Body Yoga | Morning Yoga Flow To Start Everyday Perfectly,ka9xQQ9o7H4,2021-05-16T12:48:08Z,221063,11654,111,1498,ka9xQQ9o7H4,0 days 00:31:07,1867.0
123,30 Min Full Body Yoga | Let Go Of All That No Longer Serves You,CyJB5II1D94,2021-05-17T14:47:21Z,238044,9976,74,391,CyJB5II1D94,0 days 00:31:19,1879.0
124,"30 Min Morning Yoga Flow | Full Body Yoga For Power, Peace, & Grace",rQfNwMLTtwE,2021-05-31T03:35:30Z,252531,11087,87,406,rQfNwMLTtwE,0 days 00:30:15,1815.0
125,20 Min Feel Good Yoga | Full Body Yoga For Balance & Incredible Energy,fH43l9rP_AI,2021-06-20T17:13:17Z,66138,4882,23,383,fH43l9rP_AI,0 days 00:23:39,1419.0
126,20 Min Sunset Yoga Flow | Feel Good Yoga For Total Mind & Body Re-Alignment,hRQP3tcYbOA,2021-06-28T13:07:49Z,125196,6991,39,274,hRQP3tcYbOA,0 days 00:23:18,1398.0
130,"I Love Your Yoga Videos, But... | Subscribers Keep Leaving Our Channel?!",-RAyPCbMYn0,2020-05-01T17:59:45Z,190880,10895,193,2811,-RAyPCbMYn0,0 days 00:10:08,608.0
132,COVID-19 Isolation | At Home Yoga Relief Campaign ☮,gftBWa_zFCo,2020-05-01T17:58:46Z,271641,3751,94,694,gftBWa_zFCo,0 days 00:10:43,643.0
134,"Yoga Justice Warriors- Stay Back | The Journey, Ascension, & Division Of Yoga",uIlgpraQY34,2020-05-01T17:58:46Z,56101,1915,89,376,uIlgpraQY34,0 days 00:14:10,850.0
146,30 Min Morning Yoga | For Strength & Peace In Challenging Times 🌍 #StayHome,15arofO27do,2020-05-11T20:47:22Z,595986,14090,141,618,15arofO27do,0 days 00:31:45,1905.0
147,20 Min Morning Yoga For Beginners | Full Body Yoga To Wake Up Perfectly,4g_1fMmoxK4,2021-05-23T13:01:18Z,99500,6531,64,636,4g_1fMmoxK4,0 days 00:23:05,1385.0
148,Wake Up Yoga | Best 10 Min Full Body Morning Yoga Practice,f3-VGAND8Aw,2020-07-05T15:40:10Z,921811,19700,217,499,f3-VGAND8Aw,0 days 00:11:27,687.0
149,10 Min Morning Yoga Flow | Full Body Stretch To Start The Day,uQ2yJhF4zZY,2021-03-14T15:35:01Z,399649,13776,112,264,uQ2yJhF4zZY,0 days 00:14:24,864.0
151,Sunrise Yoga | 20 Minute Gentle Morning Yoga Practice,8Lp8vZoINso,2020-05-01T17:49:08Z,347025,10665,78,279,8Lp8vZoINso,0 days 00:21:37,1297.0
152,Total Body Morning Yoga Practice | 15 Min Sunrise Yoga Flow,Y2RcO6TKO4s,2020-08-16T11:43:38Z,575532,15613,129,432,Y2RcO6TKO4s,0 days 00:18:45,1125.0
153,Morning Yoga In Bed | Gentle Wake Up Yoga For A Perfect Day,AYH-LOMRqlk,2020-05-01T17:48:45Z,296490,8395,98,325,AYH-LOMRqlk,0 days 00:17:33,1053.0
156,Bedtime Yoga | Gentle Yoga With Deep Sleep Music To Relax & Unwind,txasA5fOtGI,2020-05-01T17:49:08Z,530882,11486,109,318,txasA5fOtGI,0 days 00:24:45,1485.0
159,Yoga For Sleep ♥ Easy Bedtime Yoga | 5 Minute Miracle,xP5j5U-h-jM,2020-05-01T17:52:32Z,1615765,24584,449,410,xP5j5U-h-jM,0 days 00:07:14,434.0
161,20 Min Yoga For Flexibility | Daily Yoga Stretch Class For Tension Release & Stiffness,t0NqfRlDsP4,2021-02-23T14:06:41Z,357530,9961,82,270,t0NqfRlDsP4,0 days 00:22:55,1375.0
162,Yoga For Flexibility | Stretch Yoga To Achieve The Splits & Release Tight Hips,IZCJiTqdPm8,2020-05-01T17:39:13Z,469031,11862,105,355,IZCJiTqdPm8,0 days 00:29:18,1758.0
163,Yoga For Stress & Anxiety Relief | Blissful Yin Yoga Experience,IYiV4ztPVu0,2020-05-01T17:39:13Z,457729,13009,108,437,IYiV4ztPVu0,0 days 00:25:02,1502.0
164,30 Min Intermediate Yoga Class | Expand Your Yoga Practice At Home,SrE1B5GzUpM,2020-05-01T17:39:13Z,432915,10436,153,440,SrE1B5GzUpM,0 days 00:28:55,1735.0
165,25 Min Total Body Yoga & Tension Release | Yoga Healing From The Inside Out,GjMSgK5H4ho,2020-11-08T18:31:50Z,919662,25223,236,686,GjMSgK5H4ho,0 days 00:27:52,1672.0
166,Yin Yoga For Lower Body | Unique Yoga Postures To Release Lower Back Pain & Body Stiffness,ydtmPONM-rw,2020-05-31T14:49:08Z,342602,9284,97,330,ydtmPONM-rw,0 days 00:32:13,1933.0
168,Yin Yoga Deep Stretch Class | Release All That No Longer Serves You,BsKUBO_TPRk,2020-05-01T17:39:13Z,647858,16838,169,507,BsKUBO_TPRk,0 days 00:30:02,1802.0
169,20 Min Yoga & Daily Deep Stretch | Mother Earth Grounding Class For Personal 'Great Reset',z4XgotWbGN4,2020-12-06T17:21:58Z,409364,13729,67,394,z4XgotWbGN4,0 days 00:23:34,1414.0
171,25 Min Yin Yoga Class | 7 Day Yin Yoga Exploration Challenge,7mi15YbS8wg,2020-05-01T17:39:48Z,358228,8572,69,276,7mi15YbS8wg,0 days 00:29:04,1744.0
172,"Yoga For Tight & Sore Muscles | 20 Minute Yoga For Hips, Calves, & Hamstrings",lupXygvF8jY,2020-05-01T17:39:48Z,811676,17806,229,365,lupXygvF8jY,0 days 00:21:52,1312.0
174,"Yoga For Leg & Hip Flexibility | Hikers, Cyclists, & Dancers Deep Stretch Yoga Flow",DWCyYhczU6M,2020-05-01T17:39:48Z,664357,16684,147,330,DWCyYhczU6M,0 days 00:23:25,1405.0
176,Yoga For Strength & Healing | Mind Body Yoga To Feel Your Best,gzk2W3aNoo0,2020-05-01T17:40:27Z,480388,13579,111,390,gzk2W3aNoo0,0 days 00:27:51,1671.0
177,Yin Yoga For Upper Body | Release ALL Your Stress In 20 Minutes,XzWctoBI-6g,2020-05-01T17:40:27Z,1200620,22713,328,635,XzWctoBI-6g,0 days 00:24:27,1467.0
178,20 Min Full Body Yoga For Sore & Tired Muscles | Everything Is Connected,jTA752G_sjw,2021-03-28T14:44:48Z,271240,10562,43,296,jTA752G_sjw,0 days 00:20:06,1206.0
179,Ashtanga Inspired Yoga | Morning Flow With Intermediate Binds,IFSp2-CmQvk,2020-05-01T17:40:27Z,313683,6675,105,240,IFSp2-CmQvk,0 days 00:21:46,1306.0
180,Yoga Flow For Stunning Leg Definition & Bliss | Boho Beautiful Yoga,OIWOViH0tUo,2020-05-01T17:40:27Z,300126,7735,90,223,OIWOViH0tUo,0 days 00:22:16,1336.0
182,Yoga For Flexibility & Strength ♥ Quiet The Mind And The Soul Will Whisper,W5rMIoqCZug,2020-05-01T17:40:59Z,422475,8821,136,283,W5rMIoqCZug,0 days 00:22:38,1358.0
183,Gentle Yoga To Terminate Stress ♥ Come With Me If You Want Some Peace,e4HBS4cT15o,2020-05-01T17:40:59Z,739520,17783,153,466,e4HBS4cT15o,0 days 00:27:44,1664.0
185,Intermediate Yoga Total Body Flow | Power Up Your Home Yoga Practice,tUrcuQIzGmw,2020-05-07T14:50:09Z,309512,7645,127,340,tUrcuQIzGmw,0 days 00:26:19,1579.0
186,Back Pain & Sciatica Relief ♥ Your Daily Yoga Miracle Therapy,eiQjt0WSVHk,2020-05-01T17:40:59Z,1414275,27379,348,723,eiQjt0WSVHk,0 days 00:32:28,1948.0
187,"Yoga For PMS, Other Aches, & Gentle Realignment ♥ Your Self Love Doctor Is In",oZl9MZPncBM,2020-05-01T17:40:59Z,777549,15758,177,488,oZl9MZPncBM,0 days 00:25:42,1542.0
188,30 Min Yoga For Flexibility & Strength | Lower Body & Hips Release,lkCEO6nvX6I,2021-05-30T12:51:13Z,89272,4825,49,413,lkCEO6nvX6I,0 days 00:30:17,1817.0
189,Detox Yoga For Weight Loss & Digestion | Yogic Immune System Boost,JdcmIkFCzfI,2020-05-05T04:51:50Z,1245081,26359,260,652,JdcmIkFCzfI,0 days 00:23:45,1425.0
190,Front & Middle Splits In 14 Days | Yoga Splits Challenge For INCREDIBLE FLEXIBILITY,HaxGJPTm4P4,2020-05-13T14:43:39Z,763316,16059,156,662,HaxGJPTm4P4,0 days 00:27:36,1656.0
191,Intermediate Yoga | Perfect 25 Min Yoga Class To Gently Guide Your Practice To Its Next Level,ivCQEbf_8wU,2020-08-09T13:04:50Z,224002,6988,53,275,ivCQEbf_8wU,0 days 00:26:26,1586.0
192,Yoga To Advance Your Practice ♥ Beautiful Ashtanga Inspired Flow,i2qG4weEbLo,2020-05-01T17:41:32Z,368114,8033,110,250,i2qG4weEbLo,0 days 00:25:00,1500.0
193,Yin Yoga For Flexibility ♥ A Sore Hip & Hamstring Love Song,4IeS84sb3ZQ,2020-05-01T17:41:32Z,1243200,21979,254,545,4IeS84sb3ZQ,0 days 00:25:05,1505.0
194,Beautiful Beginner Yoga  ♥ Hatha Class For Everyone  | Tofino,Zcn2vT73jsI,2020-05-01T17:41:32Z,618707,10701,176,267,Zcn2vT73jsI,0 days 00:24:19,1459.0
197,Yoga For Strength & Flexibility ♥ Intermediate Yoga Class | Cusco,B1gEhSfFu2U,2020-05-01T17:45:15Z,574059,13304,141,317,B1gEhSfFu2U,0 days 00:21:01,1261.0
198,Yin Yoga For Flexibility ♥ Tight Hips & Hamstrings | Sacred Valley,DYQHo7OboEM,2020-05-01T17:45:15Z,839926,12440,218,394,DYQHo7OboEM,0 days 00:29:33,1773.0
199,"Intermediate Power Yoga ♥ Tone, Strengthen, & Challenge Yourself | Urubamba",h0yUCpLmeVQ,2020-05-01T17:45:15Z,634116,10994,131,379,h0yUCpLmeVQ,0 days 00:20:24,1224.0
200,Gentle Yin Yoga ♥ Tools For A New You | Forgiveness,SoymL3XAHWk,2020-05-01T17:46:00Z,586776,13225,162,371,SoymL3XAHWk,0 days 00:25:11,1511.0
202,Best Yin Yoga Release ♥ Tools For A New You | PERMISSION,cwHu9PSNtKM,2020-05-01T17:46:00Z,477849,8092,120,278,cwHu9PSNtKM,0 days 00:21:36,1296.0
203,"Yin Yoga Fusion ♥ Stretch, Breathe & Let Go | Palo Duro, Texas",YCEtPI3dk2U,2020-05-01T17:46:00Z,702654,11368,150,347,YCEtPI3dk2U,0 days 00:22:55,1375.0
206,Best Easy Yoga For Stress Relief  ♥ Unwind & Let Go | Koh Kood,_Mxtq2IImK4,2020-05-01T17:46:33Z,628349,10713,135,319,_Mxtq2IImK4,0 days 00:22:46,1366.0
208,Yin Yoga Class ♥ Release Stress & Feel Amazing in 30 Minutes | Borneo,pL1RWA_Qavs,2020-05-01T17:46:59Z,1707944,28609,485,1142,pL1RWA_Qavs,0 days 00:29:22,1762.0
209,Yoga For Splits ♥ Release Tight Hips & Increase Leg Flexibility,RttVsGmQjIA,2020-05-01T17:46:59Z,1295075,21275,269,491,RttVsGmQjIA,0 days 00:22:00,1320.0
210,Yoga For Mindfulness ♥  Silence Your Chattering Thoughts & Anxiety | Gili Asahan,Ax7FWso-RGk,2020-05-01T17:46:59Z,491437,9053,147,353,Ax7FWso-RGk,0 days 00:25:34,1534.0
211,"Morning Yoga Perfection ♥ Set Your Intention, Mind, & Body | Bali Yoga",Uy9C2bHsczI,2020-05-01T17:46:59Z,1216658,18526,262,522,Uy9C2bHsczI,0 days 00:22:32,1352.0
212,Yoga For Stress & Strength ♥ Candlelit Evening Flow,01QDnS2Tp_E,2020-05-01T17:47:29Z,584277,11597,213,404,01QDnS2Tp_E,0 days 00:23:45,1425.0
216,15 min Beginner YOGA/STRETCH Class | Gentle Yoga To Improve Flexibility,5yf0nLjAWd8,2020-05-01T03:18:49Z,550083,15836,116,274,5yf0nLjAWd8,0 days 00:15:02,902.0
217,Gentle Yoga To Feel Your Best | Yoga For Tight Lower Body & Back (No Hands!),rUpkZZAGDzw,2020-05-01T03:18:49Z,269436,8780,78,250,rUpkZZAGDzw,0 days 00:17:02,1022.0
221,Yoga For Complete Beginners | Easy Gentle Boho Beautiful Yoga,yWL8Y49A-iE,2020-05-01T03:19:54Z,246154,6599,57,169,yWL8Y49A-iE,0 days 00:16:48,1008.0
222,Full Body & Heart Yoga Class | 25 Min Yoga To Melt Uncertainty & Feel Incredible,FOccU0XRGZM,2020-08-24T13:56:37Z,703802,18525,194,576,FOccU0XRGZM,0 days 00:26:58,1618.0
