,Title,ID,Published,Views,Likes,Dislikes,Comments,Video_ID,Lenght,Seconds
29,20 Min Pilates Core & Abs Workout | At Home Pilates For Results,aRcKksI1_nY,2021-05-24T12:37:05Z,171187.0,6579.0,37.0,266.0,aRcKksI1_nY,0 days 00:20:30,1230.0
30,Pilates For Beginners ♥ Tone Your Body & Core | Peru,_7MP6Q8C_NM,2021-02-03T16:23:33Z,504104.0,10308.0,104.0,169.0,_7MP6Q8C_NM,0 days 00:16:48,1008.0
31,Best 5 Min Plank Workout For Tighter Waist | + Quick Ten Day Abs Challenge! Who's In?!,H45pX3hjYdY,2021-02-03T16:24:04Z,344464.0,7747.0,58.0,231.0,H45pX3hjYdY,0 days 00:08:01,481.0
32,15 MIN ABS YOGA WORKOUT | Flat Stomach & A Tighter Waistline ➤+ 7 DAY CHALLENGE,kb3mYslEa9g,2021-02-03T16:24:25Z,292296.0,8460.0,97.0,257.0,kb3mYslEa9g,0 days 00:18:39,1119.0
33,Yoga Workout For Weight Loss  ♥ Pilates-Yoga Fusion | Peru,mX6Kd8vrT2A,2021-02-03T16:25:07Z,628740.0,11753.0,139.0,262.0,mX6Kd8vrT2A,0 days 00:18:55,1135.0
34,14 Day Booty Challenge For Glorious Results ♥ Want To Tone & Lift You Butt? Let’s Go!,Vts-iZHyPgA,2021-02-03T16:25:22Z,574036.0,10327.0,115.0,263.0,Vts-iZHyPgA,0 days 00:13:21,801.0
35,10 MIN Cardio Yoga | Full Body Workout For Results 🔥,IUkOoOAcusc,2021-02-03T16:32:28Z,201878.0,5376.0,62.0,140.0,IUkOoOAcusc,0 days 00:13:44,824.0
36,Brazilian Butt Lift Challenge ♥ The Perfect Butt Workout,c-5WsFKlKDk,2021-02-03T16:26:27Z,4427627.0,41591.0,972.0,1199.0,c-5WsFKlKDk,0 days 00:14:48,888.0
37,Best Arm Toning Exercises For Summer ♥ 5 Minutes Miracle | Mantinani,Mlex28M-_Tk,2021-02-03T16:33:03Z,2200509.0,23318.0,311.0,421.0,Mlex28M-_Tk,0 days 00:06:37,397.0
38,10 Min TONED Arms Workout | 10 Easy Arm Exercises For Quick Results (No Equipment),UnNImpebWA8,2021-02-03T16:26:50Z,577342.0,10602.0,109.0,353.0,UnNImpebWA8,0 days 00:10:35,635.0
39,Yogalates: Pilates Yoga Fusion ♥ Yoga Workout,epxu0eFPjRM,2021-02-03T16:28:32Z,1343528.0,13095.0,365.0,391.0,epxu0eFPjRM,0 days 00:21:33,1293.0
40,Pilates Intense Mat Workout ♥ Tools For A New You | BELIEF,iWjRCMB_mzY,2021-02-03T16:27:12Z,802785.0,11519.0,177.0,297.0,iWjRCMB_mzY,0 days 00:19:41,1181.0
41,Pilates 15 Min Full Body Burn ♥ Tools For A New You | FOCUS,TZxzFaSLj_Y,2021-02-03T16:27:31Z,1559899.0,19497.0,313.0,398.0,TZxzFaSLj_Y,0 days 00:17:01,1021.0
42,Pilates Hard Core Blast ♥ Yoga Workout | Out To Pasture Sanctuary,_CdXOtSnA3o,2021-02-03T16:27:48Z,499562.0,8005.0,111.0,283.0,_CdXOtSnA3o,0 days 00:31:34,1894.0
43,Best Pilates Workout ♥ Core Exercises For Weight Loss,ScrYmMT47AU,2021-02-03T16:28:08Z,998709.0,12979.0,175.0,351.0,ScrYmMT47AU,0 days 00:16:38,998.0
44,10 Min Fat Burning Workout ♥ One Week Cardio Challenge For Results,2vIy3UimF6Y,2021-02-03T16:29:36Z,597228.0,11774.0,137.0,324.0,2vIy3UimF6Y,0 days 00:12:10,730.0
45,The Perfect Fitness Challenge ♥ Perfect Days of Sweat- Pt 1: Cardio Workout,cunJGl4GXSM,2021-02-03T16:29:49Z,1079480.0,13033.0,123.0,593.0,cunJGl4GXSM,0 days 00:17:03,1023.0
46,14 Day Abs Challenge For Stunning Results ♥ You Want Toning & Definition? Do it.,OEinsl7TipQ,2021-02-03T16:30:07Z,906041.0,14476.0,212.0,434.0,OEinsl7TipQ,0 days 00:13:08,788.0
47,Fit Body Challenge ♥ Perfect Days of Sweat Pt.2 | Fitness Workout,YmRflK4V1w0,2021-02-03T16:30:26Z,566189.0,6997.0,82.0,269.0,YmRflK4V1w0,0 days 00:16:02,962.0
48,"Ultimate Workout Challenge ♥ Abs, Legs, & Butt",0CjifVIn1wI,2021-02-03T16:30:52Z,911866.0,10408.0,154.0,343.0,0CjifVIn1wI,0 days 00:14:46,886.0
49,Best Arm Tone & Definition Class ♥ 5 Minute Miracle,r1FNRH-mG2E,2021-02-03T16:31:31Z,6457016.0,80013.0,1153.0,1290.0,r1FNRH-mG2E,0 days 00:04:50,290.0
50,"Best Yoga Workout Challenge ♥ Summer Body  in 2 Weeks | Cusco, Peru",9BuLEu6_nb8,2021-02-03T16:31:49Z,1035760.0,16331.0,184.0,452.0,9BuLEu6_nb8,0 days 00:14:09,849.0
51,The 14 Day Free Yoga & Meditation Journey | Two Week Yoga Challenge 2021 ✨,p60jqjHJHww,2021-04-26T15:07:20Z,291312.0,6076.0,39.0,576.0,p60jqjHJHww,0 days 00:05:54,354.0
